DISTRITO DE AVEIRO                    Concelho de ÁGUEDA
Silva Escura                                            ELGA MARIA DO AMARAL MARTINS DA SILVA     PPD/PSD
Sever do Vouga                                          LUÍS ALBERTO DE OLIVEIRA PEREIRA          PPD/PSD
Talhadas                                                ANTÓNIO FERNANDO DA SILVA DIAS            CDS-PP
Pessegueiro do Vouga                                    FERNANDO PEREIRA RODRIGUES                PPD/PSD
Rocas do Vouga                                          ALMIRO SILVA MACHADO                      PPD/PSD

DISTRITO DE AVEIRO                  Concelho de VAGOS
                        Freguesia                                                 Presidente                      Força política
Santo António                                           SÉRGIO BRUNO DA GRAÇA QUINTANEIRO          CDS-PP
Santa Catarina                                          CLÁUDIO ANDRÉ DOS SANTOS CURTO             PPD/PSD
Ponte de Vagos                                          MARISA SANTOS SILVA                        PPD/PSD
Fonte de Angeão                                         RAQUEL MARQUES DOS SANTOS BARREIRA CONDE   PPD/PSD
Covão do Lobo                                           CARLOS ALBERTO RUMOR CURTO                 PPD/PSD
Santo André de Vagos                                    JOÃO PAULO DAS NEVES SILVA                 PPD/PSD
Sosa                                                    NELSON DA COSTA CHEGANÇAS                  PPD/PSD
Ouca                                                    LILIANA DE OLIVEIRA DA CRUZ                CDS-PP
Gafanha da Boa Hora                                     RUI FILIPE DE OLIVEIRA FERNANDES           PPD/PSD
Calvão                                                  FILIPE TIAGO DA SILVA RIBEIRO JORGE        CDS-PP
Vagos                                                   JOÃO MÁRIO DE OLIVEIRA GRAVE               PPD/PSD

DISTRITO DE AVEIRO                    Concelho de VALE DE CAMBRA
                          Freguesia                                                 Presidente                  Força política
Junqueira                                                 BALTASAR ALMEIDA LAGES                 PPD/PSD
Macieira de Cambra                                        VICTOR DE SOUSA TAVARES                PS
Roge                                                      CONSTANTINO MARTINS DE PINHO           PPD/PSD
Arões                                                     SILVIA DANIELA COSTA DOMINGOS          PPD/PSD
União das freguesias de Vila Chã, Codal e Vila Cova de Perrinho   CRISTINA MARIA VASCONCELOS QUINTAS     CDS-PP
São Pedro de CASTELOões                                    CARLOS ALBERTO DE PINHO TAVARES        CDS-PP
Cepelos                                                   FERNANDA MARIA TAVARES GONÇALVES       PPD/PSD

DISTRITO DE BEJA                    Concelho de ALJUSTREL
                        Freguesia                                                   Presidente                         Força política
Ervidel                                                     ANDREIA ISABEL CANDEIAS PIASSAB             PS
Rio de Moinhos                                              DUARTE MANUEL DA SILVA GUERREIRO PATRÍCIO   PCP-PEV
Aljustrel                                                   NUNO MIGUEL GRACINHAS MARTINS               PCP-PEV
São João de Negrilhos                                       MANUEL HERCULANO GALHOFA                    PS
Messejana                                                   MANUEL ANTÓNIO RIANÇO DA ENCARNAÇÃO         PCP-PEV

DISTRITO DE BEJA                    Concelho de ALMODÔVAR
                        Freguesia                                               Presidente                          Força política
Almodôvar                                             DIOGO FRANCISCO MOREIRA BAROA CUSTÓDIO LANÇA   PPD/PSD
Rosário                                               VÍTOR JOSÉ COSTA NOGUEIRA                      PS
Santa Cruz                                            ABILIO MANUEL RODRIGUES                        PPD/PSD
Gomes Aires                                           FABIO MIGUEL BATISTA                           PPD/PSD
Santa Clara-a-Nova                                    ORLANDO MANUEL FIGUEIRA RODRIGUES              PS
Senhora da Graça dos Padrões                          GABRIEL TOMÁS GUERREIRO                        DESCONHECIDO
São Barnabé                                           ANTÓNIO MANUEL SILVA AMARO                     PS
