DISTRITO DE AVEIRO                    Concelho de ÁGUEDA
União das freguesias de Figueiró (Santiago e Santa Cristina)   ANTÓNIO SAMUEL SILVA CARDOSO             PPD/PSD.CDS-PP
União das freguesias de Olo e Canadelo                         FRANCISCO JOSÉ DA COSTA GOMES LEITE      PPD/PSD.CDS-PP
União das freguesias de Vila Garcia, Aboim e Chapa             MANUEL RODRIGO COELHO DA SILVEIRA        PPD/PSD.CDS-PP
Gouveia (São Simão)                                            JOAQUIM OLIVEIRA                         PPD/PSD.CDS-PP
União das freguesias de Freixo de Cima e de Baixo              HÉLDER JOAQUIM PIRES CARVALHO            PPD/PSD.CDS-PP
Gondar                                                         ÁLVARO OLIVEIRA PEREIRA                  PPD/PSD.CDS-PP
Salvador do Monte                                              PEDRO DAVIDE LEITE FERNANDES             PPD/PSD.CDS-PP
Ansiães                                                        CARLOS MANUEL GONÇALVES CARVALHO         GCE (GRUPO DE CIDADÃOS ELEITORES)
Candemil                                                       ANA SOFIA MARINHO BRIGA                  PS
Fridão                                                         NUNO ALEXANDRINO ANDRADE MARINHO         PPD/PSD.CDS-PP
Jazente                                                        DANIELA DA CONCEIÇÃO TEIXEIRA RIBEIRO    PPD/PSD.CDS-PP
Lomba                                                          JOSÉ FILIPE DE JESUS CARVALHO            PS
União das freguesias de Bustelo, Carneiro e Carvalho de Rei    JORGE MANUEL DA SILVA GOMES              PPD/PSD.CDS-PP
Louredo                                                        ANTÓNIO JORGE BARBOSA TORRES             PS
Lufrei                                                         ANTÓNIO ALEXANDRINO FERREIRA MAGALHÃES   PS

DISTRITO DE PORTO                   Concelho de AMARANTE
                        Freguesia                                              Presidente                  Força política
Mancelos                                               RICARDO SAMUEL TEIXEIRA ALVES        PS
Padronelo                                              LUÍS RIBEIRO SILVA                   PS
Rebordelo                                              SANDRA PATRÍCIA NOGUEIRA COSTA       PPD/PSD.CDS-PP
Fregim                                                 ANDRÉ MOURA MACEDO                   PS

DISTRITO DE PORTO                     Concelho de BAIÃO
                          Freguesia                                               Presidente                  Força política
União das freguesias de Campelo e Ovil                      ALBERTO PEREIRA                    PPD/PSD
Viariz                                                     -                                                    -
União das freguesias de Teixeira e Teixeiró                -                                                    -
União das freguesias de Loivos da Ribeira e Tresouras      -                                                    -
União das freguesias de Baião (Santa Leocádia) e Mesquinhata          -                                                    -
União das freguesias de Ancede e Ribadouro                  SÉRGIO MANUEL BARBOSA MONTEIRO     PS
Santa Marinha do Zêzere                                    -                                                    -
Loivos do Monte                                            -                                                    -
Grilo                                                      -                                                    -
União das freguesias de Santa Cruz do Douro e São Tomé de Covelas       -                                                    -                        
Gove                                                       -                                                    -
Gestaçô                                                    -                                                    -
Frende                                                     -                                                    -
Valadares                                                  -                                                    -

DISTRITO DE PORTO                      Concelho de FELGUEIRAS
                           Freguesia                                                     Presidente                             Força política
União das freguesias de Vila Fria e Vizela (São Jorge)       SANDRA ALICE DA SILVA LOUREIRO                    L.PS
União das freguesias de Macieira da Lixa e Caramos           CÉSAR BASTOS DA COSTA                             L.PS
União das freguesias de Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure    JOSÉ ANTÓNIO LEMOS ARAÚJO                         L.PS
União das freguesias de Pedreira, Rande e Sernande           LUCIA ALEXANDRA SAMPAIO VALENTE DE MELO RIBEIRO   L.PS
União das freguesias de Torrados e Sousa                     SANDRA MARIA SILVA TEIXEIRA                       L.PS
Sendim                                                       JOSÉ CARLOS PINTO DA SILVA                        L.PS
União das freguesias de Vila Cova da Lixa e Borba de Godim   JOSÉ ANTÓNIO DE SOUSA GUIMARÃES                   L.PS
Pinheiro                                                     GINA MARIA SOUSA COSTA                            L.PS
União das freguesias de Vila Verde e Santão                  RUI JORGE DA COSTA DUARTE                         GCE (GRUPO DE CIDADÃOS ELEITORES)
União das freguesias de Unhão e Lordelo                      HELENA MANUELA NETO DE MAGALHÃES                  L.PS
Revinhade                                                    SÍLVIA DANIELA DA COSTA PINTO                     GCE (GRUPO DE CIDADÃOS ELEITORES)
Regilde                                                      AMÉRICO JORGE VAZ MONTEIRO                        L.PS
Pombeiro de Ribavizela                                       BARTOLOMEU VIRGILIO BORGES PEREIRA                L.PS
Penacova                                                     JOAQUIM JORGE LEITE MARINHO                       L.PS
Jugueiros                                                    HUGO EMANUEL PINTO SAMPAIO                        GCE (GRUPO DE CIDADÃOS ELEITORES)
Idães                                                        SÍLVIA PERPÉTUA LOPES DA CUNHA                    L.PS
Friande                                                      JÚLIO DA SILVA PEREIRA                            L.PS
Airães                                                       NUNO MIGUEL TEIXEIRA LOPES                        GCE (GRUPO DE CIDADÃOS ELEITORES)
Aião                                                         FRÉDÉRIC PEDRO CARVALHO MARTINS                   L.PS
Refontoura                                                   JOÃO FILIPE FARIA VALENTE                         L.PS

DISTRITO DE PORTO                    Concelho de GONDOMAR
                         Freguesia                                               Presidente                     Força política
Baguim do Monte (Rio Tinto)                              FRANCISCO ALVES LARANJEIRA             PS
União das freguesias de Gondomar (São Cosme), Valbom e Jovim    ANTÓNIO JOSÉ RIBEIRO BRAZ              PS
União das freguesias de Melres e Medas                   MANUEL JOSÉ SANTOS PAIVA               PS
Rio Tinto                                                CLÁUDIA PATRICIA DOS SANTOS NOGUEIRA   PS
Lomba                                                    JOSÉ MÁRIO DA ROCHA FAÍSCA             PPD/PSD.IL
União das freguesias de Foz do Sousa e Covelo            FRANCISCA GOMES DE CASTRO              PPD/PSD.IL
União das freguesias de Fânzeres e São Pedro da Cova     ROSALINA SOFIA NEVES MARTINS           PS

DISTRITO DE PORTO                      Concelho de LOUSADA
                           Freguesia                                                      Presidente                      Força política
Torno                                                          JOAQUIM LUÍS MONTEIRO CARVALHO             PPD/PSD.CDS-PP.IL
Lustosa                                                        AGOSTINHA DE LURDES RIBEIRO MONTEIRO       PPD/PSD.CDS-PP.IL
Barrosas (Santo Estêvão)                                       CARLOS MANUEL MACHADO DOS SANTOS           PS
União das freguesias de Silvares, Pias, Nogueira e Alvarenga   ALÍPIO ABÍLIO FERREIRA CAMPOS              PPD/PSD.CDS-PP.IL
União das freguesias de Nespereira e Casais                    RUI PAULO BARBOSA LEAL                     PPD/PSD.CDS-PP.IL
União das freguesias de Figueiras e Covas                      JOÃO FERNANDO PINTO DE MAGALHÃES           PPD/PSD.CDS-PP.IL
União das freguesias de Cristelos, Boim e Ordem                DORA MANUELA MOREIRA DA ROCHA DOS SANTOS   PS
Vilar do Torno e Alentém                                       ADRIANO RIBEIRO FERREIRA                   PS
Sousela                                                        DIOGO AGOSTINHO CARVALHO AIRES             PPD/PSD.CDS-PP.IL
Nevogilde                                                      JOAQUIM RIBEIRO DE MAGALHÃES               PS
Meinedo                                                        NUNO DANIEL DE SOUSA FERREIRA              PS
Macieira                                                       PAULO ABILIO TEIXEIRA DOS SANTOS           PS
Lodares                                                        CARLOS MANUEL DA ROCHA LEAL RIBEIRO        PS
Caíde de Rei                                                   LUÍS DANIEL FERNANDES PEIXOTO              PPD/PSD.CDS-PP.IL
Aveleda                                                        JORGE AGOSTINHO MGALHÃES DA CUNHA          PS
União das freguesias de Cernadelo e Lousada (São Miguel e Santa Margarida)      JOÃO PEDRO MENDES SOUSA                    PPD/PSD.CDS-PP.IL

DISTRITO DE PORTO                     Concelho de MAIA
                          Freguesia                                               Presidente                        Força política
Vila Nova da Telha                                         EDUARDA MICAELA DA SILVA PINTO BABO       PPD/PSD.CDS-PP
Cidade da Maia                                             MANUEL TAVARES DA COSTA CARDOSO GOMES     PPD/PSD.CDS-PP
Nogueira e Silva Escura                                   -                                                    -
Pedrouços                                                 -                                                    -
Moreira                                                    CARLOS GUILHERME FERREIRA MOREIRA         PPD/PSD.CDS-PP
Milheirós                                                  MARIA JOSÉ MOUTINHO ARAÚJO CASTRO NEVES   PPD/PSD.CDS-PP
Folgosa                                                    VÍTOR MANUEL SOUSA RAMALHO                PPD/PSD.CDS-PP
Águas Santas                                              -                                                    -
Castêlo da Maia                                            RUI MANUEL TORRES REDOL SIMÕES            PPD/PSD.CDS-PP
São Pedro Fins                                             RAQUEL ADRIANA SALGADO AZEVEDO FREITAS    PPD/PSD.CDS-PP

DISTRITO DE PORTO                        Concelho de MARCO DE CANAVESES
                             Freguesia                                                 Presidente                     Força política
Avessadas e Rosém                                           TÂNIA CRISTINA RIBEIRO DE SOUSA            PS
Penha Longa                                                 MANUEL ANTÓNIO TEIXEIRA DA SILVA           PS
Paços de Gaiolo                                             DULCE PAULA DA ROCHA VIEIRA                PS
Vila Boa de Quires e Maureles                               JOSÉ TEIXEIRA                              PS
Várzea, Aliviada e Folhada                                  MÁRIO MARINHO MOREIRA                      PPD/PSD.CDS-PP
Sande e São Lourenço do Douro                               VÍTOR MANUEL DA SILVA PEREIRA              PS
Paredes de Viadores e Manhuncelos                           JOSÉ LUÍS SOARES CARNEIRO                  PS
Marco                                                       EDUARDO CELSO MACHADO DE QUEIRÓS SANTANA   PS
Bem Viver                                                  -                                                    -
Alpendorada, Várzea e Torrão                                ANTÓNIO JOSÉ PEREIRA PINTO                 PPD/PSD.CDS-PP
Vila Boa do Bispo                                           MARIA DE FÁTIMA TEIXEIRA CERQUEIRA         PS
Tabuado                                                     JOAQUIM JOSÉ PINHEIROS DOS REIS AGUIAR     PPD/PSD.CDS-PP
Sobretâmega                                                -                                                    -
Soalhães                                                    NATALINO SOARES DA SILVA                   PPD/PSD.CDS-PP
Constance                                                   JOAQUIM TEIXEIRA DA SILVA                  PPD/PSD.CDS-PP
Banho e Carvalhosa                                          LUCIANO FILIPE CARDOSO DA COSTA            PS
Santo Isidoro e Livração                                    HUGO RICARDO DENGUE BALDAIA                PPD/PSD.CDS-PP

DISTRITO DE PORTO                   Concelho de MATOSINHOS
                        Freguesia                                                 Presidente                          Força política
Matosinhos                                             PAULO ANTÓNIO GOMES RAMOS DE CARVALHO          PS
Senhora da Hora                                        LEONARDO JORGE MOREIRA FERNANDES               PS
São Mamede de Infesta                                  OCTÁVIO MANUEL JERÓNIMO PEREIRA                PS
Santa Cruz do Bispo                                    MARIA DE LURDES CARVALHO GOMES SILVA QUEIRÓS   PLS
Perafita                                               MIGUEL FILIPE ALVES HORA                       PS
Leça da Palmeira                                       PLÁCIDO JOSÉ MARQUES DOS SANTOS                PS
Lavra                                                  JOÃO FILIPE DIAS TORRES                        PS
Guifões                                                ANA PATRÍCIA GOMES FERNANDES                   PS
Custóias                                               JÚLIO ABRAÃO MARQUES LOURENÇO                  PS
Leça do Balio                                          BEATRIZ MARIA BARBOSA CARVALHO                 PS

DISTRITO DE PORTO                   Concelho de PAÇOS DE FERREIRA
                        Freguesia                                                Presidente                        Força política
Arreigada                                               JOSÉ MAXIMINO MOREIRA TEIXEIRA              PPD/PSD.CDS-PP
Sanfins de Ferreira                                     LUÍS MIGUEL GONÇALVES NETO                  PPD/PSD.CDS-PP
Paços de Ferreira                                       ALICE CLARA CARNEIRO DA SILVA               PPD/PSD.CDS-PP
Modelos                                                 MANUEL FERNANDO SOUSA DIAS                  PPD/PSD.CDS-PP
Lamoso                                                  LUCIA CATARINA FERREIRA GOMES               PPD/PSD.CDS-PP
Codessos                                                JOSÉ MANUEL FERREIRA                        PS
Seroa                                                   CARLOS ALBERTO TORRES DA COSTA RIOS         PS
Eiriz                                                   VITOR MANUEL CARNEIRO RIBEIRO DE MEIRELES   PPD/PSD.CDS-PP
Frazão                                                  JOAQUIM SÉRGIO BARBOSA PEREIRA GOMES        PPD/PSD.CDS-PP
Carvalhosa                                              JOSÉ MARIA GOMES DE MATOS                   PPD/PSD.CDS-PP
Raimonda                                                JOCELINO GONÇALVES MOREIRA                  PS
Ferreira                                                MARIA DO SAMEIRO MOREIRA MARTINS            PS
Figueiró                                                NÉLSON LEANDRO DOS SANTOS MARTINS PINTO     CDS-PP.PPD/PSD
Freamunde                                               ARMÉNIO COELHO MARQUES RIBEIRO              PS
Meixomil                                                JOSÉ VALENTIM TEIXEIRA DE SOUSA             PPD/PSD.CDS-PP
Penamaior                                               MANUEL ORLANDO RIBEIRO MOREIRA              PPD/PSD.CDS-PP

DISTRITO DE PORTO                   Concelho de PAREDES
                        Freguesia                                                     Presidente                     Força política
Parada de Todeia                                           TIAGO ANDRÉ MARQUES DE MAGALHÃES           PS
Cete                                                       JOAQUIM TOMÁS FERNANDES CORREIA            PPD/PSD.CDS-PP
Vilela                                                     CÉLIA MARISA DA SILVA ROCHA                PS
Vandoma                                                    BRUNO MIGUEL LEAL DE SOUSA                 PS
Sobrosa                                                   -                                                    -
Sobreira                                                   ANTÓNIO ADÃO BARBOSA NOGUEIRA              PS
Recarei                                                   -                                                    -
Rebordosa                                                  ANTÓNIA SALOMÉ DA SILVA                    PS
Paredes                                                    JOEL FILIPE MOREIRA RIBEIRO                PS
Baltar                                                     JORGE MANUEL FERREIRA COELHO               PS
Duas Igrejas                                               LUÍS FILIPE COELHO BARBOSA                 GCE (GRUPO DE CIDADÃOS ELEITORES)
Louredo                                                    ADELINO RIBEIRO DA COSTA                   PPD/PSD.CDS-PP
Astromil                                                   JOSÉ MANUEL FERREIRA MOREIRA               PS
Beire                                                      JOSÉ CARLOS RIBEIRO BARBOSA                PS
Cristelo                                                   JOSÉ DA SILVA RODRIGUES                    PS
Gandra                                                     SÍLVIA MARIA DE SÁ PINTO VIEIRA DA SILVA   PS
Lordelo                                                    FILIPE SILVESTRE FERREIRA CARNEIRO         PPD/PSD.CDS-PP
Aguiar de Sousa                                            FERNANDO GONÇALO DE SOUSA SANTOS           PS

DISTRITO DE PORTO                   Concelho de PENAFIEL
                        Freguesia                                                   Presidente                     Força política
Rio de Moinhos                                             PEDRO MIGUEL NEVES COELHO                PS
Termas de São Vicente                                      RICARDO FERNANDO SILVA COELHO            GCE (GRUPO DE CIDADÃOS ELEITORES)
Rans                                                       MÁRCIA CLÁUDIA BESSA ROCHA               GCE (GRUPO DE CIDADÃOS ELEITORES)
Valpedre                                                   ARTUR PEDRO SANTOS DA FONSECA TEIXEIRA   PPD/PSD.CDS-PP
Recezinhos (São Mamede)                                   -                                                    -
Recezinhos (São Martinho)                                  GILBERTO JOÃO SOUSA FERNANDES            GCE (GRUPO DE CIDADÃOS ELEITORES)
Sebolido                                                   ANTÓNIO ABÍLIO DA ROCHA LOPES            PPD/PSD.CDS-PP
Rio Mau                                                    RUI PEDRO AZEVEDO FERREIRA               GCE (GRUPO DE CIDADÃOS ELEITORES)
Penafiel                                                   CARLOS LEÃO BARBOSA                      PPD/PSD.CDS-PP
Luzim e Vila Cova                                          JOSÉ AGOSTINHO GUIMARÃES MENDES          PPD/PSD.CDS-PP
Lagares e Figueira                                         NUNO HUMBERTO VIEIRA COELHO              PPD/PSD.CDS-PP
CASTELOões                                                  TÂNIA DO CÉU TEIXEIRA DIAS RIBEIRO       PPD/PSD.CDS-PP
Perozelo                                                   ESTRELA DE FÁTIMA COUTO DE SOUSA         PPD/PSD.CDS-PP
Guilhufe e Urrô                                            MANUEL FERNANDO MENDES SILVA             GCE (GRUPO DE CIDADÃOS ELEITORES)
Croca                                                      AGOSTINHO FELICIANO MELO DE SOUSA        GCE (GRUPO DE CIDADÃOS ELEITORES)
Paço de Sousa                                              ADELINO TEIXEIRA DE SOUSA                PPD/PSD.CDS-PP
Boelhe                                                     RICARDO FILIPE LUÍS MARIA DE CAMPOS      PS
Bustelo                                                    JOAQUIM FERNANDO FERREIRA PEDROSO        PPD/PSD.CDS-PP
Cabeça Santa                                               SARA MARIA ROCHA SILVA                   GCE (GRUPO DE CIDADÃOS ELEITORES)
Canelas                                                   -                                                    -
Duas Igrejas                                               NELSON MIGUEL FERREIRA ROCHA             GCE (GRUPO DE CIDADÃOS ELEITORES)
Abragão                                                    JOSÉ ANTÓNIO RIBEIRO DE OLIVEIRA         PS
Eja                                                        MARIA ISABEL SAMPAIO DA MOTA GUEDES      GCE (GRUPO DE CIDADÃOS ELEITORES)

DISTRITO DE PORTO                   Concelho de PENAFIEL
                        Freguesia                                                     Presidente                  Força política
Fonte Arcada                                               ANTÓNIO FERREIRA DA SILVA               PPD/PSD.CDS-PP
Galegos                                                    JOAQUIM AGOSTINHO DE SOUSA PINTO        PS
Irivo                                                      DIANA ANDREIA MOREIRA TADEU             PPD/PSD.CDS-PP
Oldrões                                                    PEDRO ADRIANO GOMES DA CUNHA            PPD/PSD.CDS-PP
Capela                                                     EURICO LUÍS ALVES VIEIRA                GCE (GRUPO DE CIDADÃOS ELEITORES)

DISTRITO DE PORTO                     Concelho de PORTO
                          Freguesia                                                 Presidente                                        Força política
União das freguesias de Aldoar, Foz do Douro e Nevogilde   CLÁUDIA SUSANA FONSECA FERREIRA DA SILVA DE FARIA BRAVO    PPD/PSD.CDS-PP.IL
Ramalde                                                    PATRÍCIA ALEXANDRA RAPAZOTE TRINDADE E DINIS DE CARVALHO ESCOBAR   PPD/PSD.CDS-PP.IL                         
União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória     NUNO FILIPE TEIXEIRA DA CRUZ                               PS
Campanhã                                                   PAULO JORGE PINTO RIBEIRO                                  PS
Bonfim                                                    -                                                    -
União das freguesias de Lordelo do Ouro e Massarelos       PEDRO JORGE RIBEIRO TEICHGRABER                            PPD/PSD.CDS-PP.IL
Paranhos                                                  -                                                    -

DISTRITO DE PORTO                   Concelho de PÓVOA DE VARZIM
                        Freguesia                                                  Presidente                          Força política
Argivai                                                    JOAQUIM FERREIRA DA SILVA                   PPD/PSD
Terroso                                                    PAULO DUARTE VILAR DE SÁ MOREIRA            PPD/PSD
Póvoa de Varzim                                            JOSÉ RICARDO DOS SANTOS BAPTISTA DA SILVA   PPD/PSD
Navais                                                     JOSÉ ALBERTO SALGADO DA SILVA               PPD/PSD
Aver-o-Mar                                                 ANA RITA SENCADAS MARTINS                   PS.PAN.L
Amorim                                                     SÉRGIO MIGUEL VALENTIM FURTADO              PPD/PSD
Aguçadoura                                                 ALÍPIO RICARDO BARBOSA DE CAMPOS            PPD/PSD
Rates                                                     -                                                    -
Laundos                                                    FÉLIX MANUEL RAMIRES MARQUES                PPD/PSD
Estela                                                    -                                                    -
Balazar                                                    MARCO AURÉLIO AZEVEDO SILVA                 PPD/PSD
Beiriz                                                     AMADEU DE SÁ MATIAS DA SILVA                PPD/PSD

DISTRITO DE PORTO                     Concelho de SANTO TIRSO
                          Freguesia                                                       Presidente                    Força política
Vilarinho                                                      MARIO PEDRO SILVA FERREIRA               PPD/PSD.IL
União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães   JOSE PEDRO DOS SANTOS FERREIRA MACHADO   PS
União das freguesias de Lamelas e Guimarei                     PEDRO MACIEL NETO OLIVEIRA               PS
União das freguesias de Carreira e Refojos de Riba de Ave      ANTÓNIO MANUEL OLIVEIRA NOGUEIRA         PS
Negrelos (São Tomé)                                            ANTÓNIO RUI FERNANDES DE ALMEIDA         PPD/PSD.IL
União das freguesias de Areias, Sequeiró, Lama e Palmeira      DELFIM DA SILVA FERREIRA                 PS
Vila Nova do Campo                                             ARMANDO JORGE RODRIGUES CARVALHO         PPD/PSD.IL
Roriz                                                          DOMINGOS MAGALHÃES DA SILVA              PS
Agrela                                                         HELENA PATRICIA CARNEIRO PEREIRA         GCE (GRUPO DE CIDADÃOS ELEITORES)
Água Longa                                                     JOSE CARLOS DA SILVA CONDE               GCE (GRUPO DE CIDADÃOS ELEITORES)
Aves                                                           JOAQUIM RIBEIRO FARIA                    PS
Rebordões                                                      JOÃO MIGUEL TRAVANCA CARNEIRO            PS
Monte Córdova                                                  ANDREIA ALEXANDRA DA SILVA CORREIA       GCE (GRUPO DE CIDADÃOS ELEITORES)
Reguenga                                                       MÁRCIO PAULO DA ROCHA DE PINHO           PS

DISTRITO DE PORTO                    Concelho de TROFA
                         Freguesia                                                   Presidente                  Força política
Muro                                                        JOSÉ FERNANDO DA COSTA MARTINS        PPD/PSD.CDS-PP
Alvarelhos                                                  SÓNIA VANESSA VIEIRA MAIA             PPD/PSD.CDS-PP
Covelas                                                     ALEXANDRA FILIPA CAMPOS FERREIRA      PPD/PSD.CDS-PP
União das freguesias de Bougado (São Martinho e Santiago)   JORGE RODRIGUES CAMPOS                PPD/PSD.CDS-PP
Guidões                                                     JOAQUIM FERNANDO MAIA FERREIRA        PPD/PSD.CDS-PP
União das freguesias de Coronado (São Romão e São Mamede)            RICARDO AUGUSTO OLIVEIRA DOS SANTOS   PPD/PSD.CDS-PP

DISTRITO DE PORTO                   Concelho de VALONGO
                        Freguesia                                                 Presidente                  Força política
Campo                                                     JOSÉ MANUEL DE ABREU CARVALHO        PS
Valongo                                                   IVO VALE DAS NEVES                   PS
Ermesinde                                                 MIGUEL ANTÓNIO PEREIRA DE OLIVEIRA   PS
Alfena                                                    ARNALDO PINTO SOARES                 GCE (GRUPO DE CIDADÃOS ELEITORES)
Sobrado                                                   ANA PAULA CRUZ LOURENÇO              PPD/PSD

DISTRITO DE PORTO                     Concelho de VILA DO CONDE
                          Freguesia                                                     Presidente                  Força política
Arcos                                                       -                                                    -
Canidelo                                                    -                                                    -
Fornelo                                                     -                                                    -
Malta                                                       -                                                    -
Retorta                                                     -                                                    -
Rio Mau                                                     -                                                    -
Vairão                                                      -                                                    -
União das freguesias de Vilar e Mosteiró                    -                                                    -
Vila do Conde                                               -                                                    -
Tougues                                                      LUIS MIGUEL MAIA PENICHE                DESCONHECIDO
Gião                                                        -                                                    -
Árvore                                                      -                                                    -
Aveleda                                                     -                                                    -
União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada   -                                                    -
Fajozes                                                     -                                                    -
União das freguesias de Touguinha e Touguinhó               -                                                    -
Guilhabreu                                                  -                                                    -
Junqueira                                                   -                                                    -
Macieira da Maia                                            -                                                    -
Mindelo                                                     -                                                    -
Modivas                                                     -                                                    -
Vila Chã                                                    -                                                    -

DISTRITO DE PORTO                   Concelho de VILA DO CONDE
                        Freguesia                               Presidente             Força política
Labruge                                                   -                                                    -
Azurara                                                   -                                                    -
Vilar de Pinheiro                                         -                                                    -

DISTRITO DE PORTO                   Concelho de VILA NOVA DE GAIA
                        Freguesia                                               Presidente                      Força política
Valadares                                               JOSÉ ANTÓNIO SOARES RIBEIRO             PPD/PSD.CDS-PP.IL
Santa Marinha                                           FERNANDO FERREIRA DA SILVA DUARTE       PPD/PSD.CDS-PP.IL
Sandim                                                  FERNANDO CONSTANTINO AUGUSTO RAMOS      PPD/PSD.CDS-PP.IL
São Pedro da Afurada                                    EDUARDO JOSÉ MOREIRA DE MATOS           PPD/PSD.CDS-PP.IL
Seixezelo                                               SÉRGIO FRANCISCO DOS SANTOS BATISTA     PPD/PSD.CDS-PP.IL
Serzedo                                                -                                                    -
Vilar do Paraíso                                        SARA RAQUEL RODRIGUES MAGALHÃES         PS
Gulpilhares                                             ALFREDO JOSÉ RIBEIRO DA ROCHA           PPD/PSD.CDS-PP.IL
Sermonde                                               -                                                    -
Madalena                                               -                                                    -
Perosinho                                               MANUEL JORGE MOREIRA DA SILVA           PPD/PSD.CDS-PP.IL
Mafamude                                               -                                                    -
Arcozelo                                                VASCO ANTÓNIO DE CASTRO BEZERRA         PPD/PSD.CDS-PP.IL
Avintes                                                 NICOLINO EDUARDO DA SILVA RIBEIRO       PS
Canidelo                                                MANUEL ANTÓNIO COUTINHO FERREIRINHA     PS
Oliveira do Douro                                       FÁBIO EMANUEL SÁ ROCHA OLIVEIRA PINTO   PPD/PSD.CDS-PP.IL
São Félix da Marinha                                   -                                                    -
Vilar de Andorinho                                      ANDREIA MARIA FERREIRA TEIXEIRA         PS
Crestuma                                                PEDRO MIGUEL BARBOSA MOREIRA            PS
Grijó                                                   JORGE FILIPE GOMES CASTRO               PPD/PSD.CDS-PP.IL
Lever                                                   MANUEL JOSÉ DIAS OLIVEIRA GAMA          PPD/PSD.CDS-PP.IL
Olival                                                 -                                                    -
Pedroso                                                 JOAQUIM ANTÓNIO DIAS TAVARES            PS

DISTRITO DE PORTO                   Concelho de VILA NOVA DE GAIA
                        Freguesia                                                   Presidente                  Força política
Canelas                                                    ANA LUÍSA DE OLIVEIRA FERREIRA        PS

DISTRITO DE SANTARÉM                 Concelho de ABRANTES
                         Freguesia                                                   Presidente                  Força política
Carvalhal                                                    -                                                    -
Fontes                                                       -                                                    -
União das freguesias de São Miguel do Rio Torto e Rossio ao Sul do Tejo       -                                                    -
União das freguesias de São Facundo e Vale das Mós           -                                                    -
União das freguesias de Alvega e Concavada                   -                                                    -
União das freguesias de Abrantes (São Vicente e São João) e Alferrarede  -                                                    -
Rio de Moinhos                                               -                                                    -
Pego                                                         -                                                    -
Mouriscas                                                    -                                                    -
Martinchel                                                   -                                                    -
Bemposta                                                      LUÍS MIGUEL ZAMBUJO DIAS            PS
União das freguesias de Aldeia do Mato e Souto               -                                                    -
Tramagal                                                     -                                                    -

DISTRITO DE SANTARÉM                 Concelho de ALCANENA
                         Freguesia                                                   Presidente                  Força política
Serra de Santo António                                    -                                                    -
União das freguesias de Alcanena e Vila Moreira            ANTÓNIO JOSÉ MACHADO DA SILVA          PPD/PSD.CDS-PP
Monsanto                                                   ANDREIA PAIXÃO GRAÇA                   PS
Moitas Venda                                               MARISA GONÇALVES DA SILVA              PPD/PSD.CDS-PP
Minde                                                      JOÃO CARLOS SANTOS CASTANHEIRA         PPD/PSD.CDS-PP
Bugalhos                                                   LUÍS FILIPE MINA PEREIRA TETETO        PPD/PSD.CDS-PP
União das freguesias de Malhou, Louriceira e Espinheiro    FERNANDO MANUEL FERRERIA               PS

DISTRITO DE SANTARÉM                Concelho de ALMEIRIM
                        Freguesia                                                   Presidente                  Força política
Almeirim                                                   HELENA ISABEL DE OLIVEIRA FIDALGO     PS
Benfica do Ribatejo                                        ANA TERESA SALDANHA LOPES             PS
Fazendas de Almeirim                                       JOAQUIM MANUEL BRAZ PEREIRA           PS
Raposa                                                     ANTÓNIO JOSÉ CARVALHO DIONISIO        PS

DISTRITO DE SANTARÉM                Concelho de ALPIARÇA
                        Freguesia                                                 Presidente                  Força política
Alpiarça                                                   JORGE MANUEL FERREIRA DA COSTA      PS

DISTRITO DE SANTARÉM                Concelho de BENAVENTE
                        Freguesia                                                 Presidente                  Força política
Benavente                                               IVETE BELO MATEUS                      PPD/PSD.CDS-PP
Samora Correia                                          JORGE MANUEL DA SILVA PAIVA            DESCONHECIDO
Santo Estêvão                                           RICARDO ALEXANDRE FRADE DE OLIVEIRA    PPD/PSD.CDS-PP
Barrosa                                                 NELSON JOSÉ PEDRO LÚCIO                PCP-PEV

DISTRITO DE SANTARÉM                  Concelho de CARTAXO
                          Freguesia                              Presidente             Força política
Vale da Pedra                                              -                                                    -
União das freguesias do Cartaxo e Vale da Pinta            -                                                    -
Valada                                                     -                                                    -
Pontével                                                   -                                                    -
Vila Chã de Ourique                                        -                                                    -
União das freguesias de Ereira e Lapa                      -                                                    -

DISTRITO DE SANTARÉM                 Concelho de CHAMUSCA
                         Freguesia                                                Presidente                  Força política
Ulme                                                      -                                                    -
Vale de Cavalos                                           -                                                    -
Carregueira                                                JOEL NUNES MARQUES                  PS
União das freguesias da Chamusca e Pinheiro Grande         JORGE MANUEL DA SILVA SANTOS        DESCONHECIDO
União das freguesias de Parreira e Chouto                  VASCO MIGUEL CORDEIRO LOPES         PS

DISTRITO DE SANTARÉM                Concelho de CONSTÂNCIA
                        Freguesia                                              Presidente                  Força política
Constância                                              PAULO GAMEIRO SENA FREITAS          PS
Montalvo                                                ANA LUÍSA CARTAXO MANIQUE           PS
Santa Margarida da Coutada                              JOSÉ MANUEL RICARDO                 PS

DISTRITO DE SANTARÉM                Concelho de CORUCHE
                        Freguesia                                                 Presidente                         Força política
